display_step,raw_step,active_users,selected_policy,normalized_active_user_fraction,normalized_edge_backlog,normalized_access_pressure,context_bin,decisions,gate_rejections,completed_now,action_seconds,context_selector_seconds,controller_seconds
1,0,150,adaptive,1.0,0.0,0.010878849673271684,1,25,0,0,0.016821718774735928,0.002397133968770504,0.01921885274350643
2,1,150,adaptive,1.0,0.8645835954309016,0.009374862857778998,2,19,0,6,0.012502944562584162,0.002362098079174757,0.014865042641758919
3,2,150,adaptive,1.0,0.6422843509307227,0.010174313679699454,2,25,0,14,0.016189978923648596,0.0023535718210041523,0.018543550744652748
4,3,150,adaptive,1.0,0.5366509090264481,0.008620138596682314,2,24,0,11,0.015656915958970785,0.002362930215895176,0.01801984617486596
5,4,150,adaptive,1.0,0.41961741199756,0.00850272889922088,2,16,0,16,0.010356123093515635,0.0023733889684081078,0.012729512061923742
6,5,150,adaptive,1.0,0.24957952674159486,0.0102209478765527,1,29,0,14,0.018783512990921736,0.002375293057411909,0.021158806048333645
7,6,150,fixed,1.0,0.577255292360299,0.007943780693079106,2,25,7,18,0.01646904507651925,0.0023481519892811775,0.01881719706580043
8,7,150,fixed,1.0,0.3823850455192392,0.008572586717029762,2,30,4,13,0.017294147983193398,0.00236236909404397,0.019656517077237368
9,8,150,fixed,1.0,1.0,0.008687839541574927,2,26,3,17,0.016782605089247227,0.0023358589969575405,0.019118464086204767
10,9,150,fixed,1.0,1.0,0.008199620902450078,2,25,4,21,0.016209745779633522,0.0023447046987712383,0.01855445047840476
11,10,150,fixed,1.0,1.0,0.009543847491228274,2,24,2,23,0.015530317090451717,0.0024170917458832264,0.017947408836334944
12,11,150,fixed,1.0,1.0,0.008896647505024058,2,31,4,26,0.020019200164824724,0.0023528109304606915,0.022372011095285416
13,12,150,fixed,1.0,0.82547601318092,0.008982356970673178,2,26,5,32,0.016737790778279305,0.002361918333917856,0.01909970911219716
14,13,150,fixed,1.0,0.4400367091682073,0.008922703473560278,2,27,4,17,0.017466953955590725,0.0023911730386316776,0.019858126994222403
15,14,150,fixed,1.0,0.9702376477154103,0.009017041098494105,2,20,4,18,0.01297769881784916,0.002334006130695343,0.015311704948544502
16,15,150,fixed,1.0,0.4653329856245758,0.00828970659086925,2,33,1,23,0.021466846112161875,0.0023559872061014175,0.023822833318263292
17,16,30,adaptive,0.2,1.0,0.008769395366689747,1,8,0,23,0.005352760199457407,0.002349905204027891,0.007702665403485298
