step,active_users,regime
1,100,sparse
2,1200,dense
3,800,general
4,500,general
5,500,general
6,1500,dense
7,100,sparse
8,1200,dense
9,300,general
10,100,sparse
11,800,general
12,1500,dense
13,1200,dense
14,1200,dense
15,1200,dense
16,1200,dense
17,800,general
18,100,sparse
19,1500,dense
20,500,general
21,800,general
22,500,general
23,300,general
24,1500,dense
25,1200,dense
26,800,general
27,500,general
28,1200,dense
29,800,general
30,500,general
31,500,general
32,300,general
33,100,sparse
34,800,general
35,1500,dense
36,100,sparse
37,1500,dense
38,1200,dense
39,300,general
40,800,general
41,100,sparse
42,1200,dense
43,1200,dense
44,500,general
45,100,sparse
46,1500,dense
47,500,general
48,1500,dense
49,1200,dense
50,1200,dense
51,1200,dense
52,300,general
53,500,general
54,500,general
55,500,general
56,100,sparse
57,800,general
58,100,sparse
59,1200,dense
60,1200,dense
61,1500,dense
62,1200,dense
63,500,general
64,1500,dense
65,500,general
66,300,general
67,1500,dense
68,500,general
69,100,sparse
70,500,general
71,1200,dense
72,300,general
73,500,general
74,100,sparse
75,1200,dense
76,500,general
77,300,general
78,300,general
79,800,general
80,1200,dense
81,1500,dense
82,500,general
83,100,sparse
84,1200,dense
85,800,general
86,1200,dense
87,100,sparse
88,300,general
89,1200,dense
90,1200,dense
91,500,general
92,1200,dense
93,1500,dense
94,500,general
95,1500,dense
96,300,general
97,300,general
98,1200,dense
99,800,general
100,100,sparse
101,1200,dense
102,300,general
103,1200,dense
104,100,sparse
105,1200,dense
106,1200,dense
107,1200,dense
108,800,general
109,500,general
110,1200,dense
111,300,general
112,1200,dense
113,800,general
114,500,general
115,800,general
116,800,general
117,100,sparse
118,100,sparse
119,300,general
120,100,sparse
121,500,general
122,1200,dense
123,800,general
124,500,general
125,1500,dense
126,800,general
127,100,sparse
128,1200,dense
129,800,general
130,800,general
131,800,general
132,800,general
133,100,sparse
134,800,general
135,1200,dense
136,300,general
137,800,general
138,100,sparse
139,500,general
140,500,general
141,1500,dense
142,300,general
143,300,general
144,500,general
145,1500,dense
146,1500,dense
147,100,sparse
148,300,general
149,1200,dense
150,100,sparse
151,1500,dense
152,300,general
153,1500,dense
154,300,general
155,500,general
156,800,general
157,100,sparse
158,800,general
159,800,general
160,1200,dense
161,1500,dense
162,800,general
163,500,general
164,500,general
165,500,general
166,1200,dense
167,300,general
168,300,general
169,500,general
170,100,sparse
171,100,sparse
172,100,sparse
173,1200,dense
174,1200,dense
175,1200,dense
176,500,general
177,1200,dense
178,100,sparse
179,1500,dense
180,800,general
181,1500,dense
182,100,sparse
183,500,general
184,1200,dense
185,500,general
186,500,general
187,100,sparse
188,500,general
189,300,general
190,300,general
191,1200,dense
192,800,general
193,800,general
194,500,general
195,1500,dense
196,100,sparse
197,500,general
198,100,sparse
199,500,general
200,1500,dense
201,500,general
202,1500,dense
203,500,general
204,1200,dense
205,500,general
206,300,general
207,1200,dense
208,1500,dense
209,300,general
210,1200,dense
211,300,general
212,1200,dense
213,1200,dense
214,500,general
215,1200,dense
216,300,general
217,100,sparse
218,100,sparse
219,500,general
220,1500,dense
221,100,sparse
222,500,general
223,1200,dense
224,300,general
225,1200,dense
226,300,general
227,1200,dense
228,800,general
229,800,general
230,300,general
231,500,general
232,1500,dense
233,100,sparse
234,1200,dense
235,500,general
236,1200,dense
237,800,general
238,500,general
239,300,general
240,800,general
241,100,sparse
242,800,general
243,100,sparse
244,800,general
245,800,general
246,100,sparse
247,1200,dense
248,500,general
249,1200,dense
250,100,sparse
251,300,general
252,500,general
253,300,general
254,300,general
255,800,general
256,100,sparse
257,1200,dense
258,100,sparse
259,300,general
260,800,general
261,1200,dense
262,300,general
263,300,general
264,1500,dense
265,1500,dense
266,800,general
267,500,general
268,500,general
269,800,general
270,800,general
271,300,general
272,100,sparse
273,100,sparse
274,1500,dense
275,500,general
276,500,general
277,500,general
278,1200,dense
279,100,sparse
280,100,sparse
281,300,general
282,500,general
283,1200,dense
284,500,general
285,500,general
286,1500,dense
287,100,sparse
288,800,general
289,800,general
290,500,general
291,1200,dense
292,300,general
293,1500,dense
294,300,general
295,800,general
296,800,general
297,1500,dense
298,500,general
299,300,general
300,100,sparse
301,500,general
302,1200,dense
303,100,sparse
304,1500,dense
305,800,general
306,100,sparse
307,300,general
308,800,general
309,300,general
310,100,sparse
311,800,general
312,1200,dense
313,100,sparse
314,300,general
315,300,general
316,800,general
317,1200,dense
318,1200,dense
319,1500,dense
320,1200,dense
321,300,general
322,100,sparse
323,800,general
324,1500,dense
325,1500,dense
326,300,general
327,300,general
328,100,sparse
329,100,sparse
330,800,general
331,800,general
332,500,general
333,300,general
334,1200,dense
335,500,general
336,1200,dense
337,1500,dense
338,300,general
339,300,general
340,1500,dense
341,800,general
342,300,general
343,800,general
344,800,general
345,1500,dense
346,300,general
347,1500,dense
348,1500,dense
349,300,general
350,100,sparse
351,800,general
352,100,sparse
353,300,general
354,500,general
355,1500,dense
356,1500,dense
357,100,sparse
358,1500,dense
359,100,sparse
360,1200,dense
361,1500,dense
362,1500,dense
363,300,general
364,1500,dense
365,100,sparse
366,800,general
367,500,general
368,300,general
369,100,sparse
370,1200,dense
371,500,general
372,800,general
373,500,general
374,500,general
375,1500,dense
376,100,sparse
377,1200,dense
378,1200,dense
