regime,episodes,algorithm,label,qoe_mean,delay_mean,energy_mean,drop_mean,completion_rate_mean
sparse,89,qeco,QECO,7.31039500,7.79461342,27.43035839,1326.23595506,0.54424893
sparse,89,qeco_adapt_general,QECO-ADAPT general,11.50225641,7.66779711,11.26476094,1261.47191011,0.56617020
sparse,89,qeco_adaptive_gate,QECO adaptive gate,7.61049440,7.79524149,26.35668565,1316.84269663,0.54727042
sparse,89,qeco_adapt2,QECO-ADAPT2,11.51589334,7.66195722,11.29239151,1260.91011236,0.56637243
general,244,qeco,QECO,2.94736617,8.64770903,18.84923575,9577.86475410,0.38562407
general,244,qeco_adapt_general,QECO-ADAPT general,7.42884819,8.45013828,14.32149247,8246.78278689,0.46852381
general,244,qeco_adaptive_gate,QECO adaptive gate,6.47003887,8.42560694,17.24718873,8312.81967213,0.46078766
general,244,qeco_adapt2,QECO-ADAPT2,7.42086627,8.45154045,14.34979042,8248.27049180,0.46838192
dense,167,qeco,QECO,2.72396778,8.79539388,9.70250537,25077.80239521,0.34940631
dense,167,qeco_adapt_general,QECO-ADAPT general,7.11647713,8.57289254,9.26655694,21320.28742515,0.44856262
dense,167,qeco_adaptive_gate,QECO adaptive gate,7.12018522,8.57229744,9.27489972,21319.82035928,0.44865941
dense,167,qeco_adapt2,QECO-ADAPT2,7.09958032,8.57236150,9.31077468,21332.88622754,0.44824079
all,500,qeco,QECO,3.64937024,8.54518475,17.32166763,13286.05400000,0.40176256
all,500,qeco_adapt_general,QECO-ADAPT general,8.04958292,8.35188148,12.08904579,11369.94800000,0.47923783
all,500,qeco_adaptive_gate,QECO adaptive gate,6.89018884,8.36239652,16.20593465,11411.87400000,0.47213076
all,500,qeco_adapt2,QECO-ADAPT2,8.04247158,8.35134886,12.12254216,11374.78200000,0.47909709
