step,qeco_qoe,qeco_delay,qeco_energy,qeco_drop,qeco_completion_rate,qeco_adapt_general_qoe,qeco_adapt_general_delay,qeco_adapt_general_energy,qeco_adapt_general_drop,qeco_adapt_general_completion_rate,qeco_adaptive_gate_qoe,qeco_adaptive_gate_delay,qeco_adaptive_gate_energy,qeco_adaptive_gate_drop,qeco_adaptive_gate_completion_rate,qeco_adapt2_qoe,qeco_adapt2_delay,qeco_adapt2_energy,qeco_adapt2_drop,qeco_adapt2_completion_rate
1,-13.00584952,9.51227949,60.94412502,2363.00000000,0.18263577,9.30301164,7.95122795,19.25814489,1305.00000000,0.54859910,-9.20677838,9.14181944,58.28337532,2135.00000000,0.26150121,9.30301164,7.95122795,19.25814489,1305.00000000,0.54859910
2,-10.63973226,9.95016487,5.47252769,34014.00000000,0.02468817,5.82964617,8.53694624,8.87892101,20293.00000000,0.41812186,5.81014156,8.53729032,8.85616864,20312.00000000,0.41757706,5.81014156,8.53729032,8.85616864,20312.00000000,0.41757706
3,-11.18554298,9.94293513,9.52273059,22730.00000000,0.03057961,5.55999044,8.54140952,12.91230205,13406.00000000,0.42143196,5.55813614,8.54110742,12.88892435,13408.00000000,0.42134565,5.55999044,8.54140952,12.91230205,13406.00000000,0.42143196
4,-12.15729177,9.92278360,17.26801789,14138.00000000,0.03731445,5.76521387,8.49716162,18.61275884,8242.00000000,0.43629027,4.22876437,8.43266534,18.52449863,8515.00000000,0.41761849,5.76521387,8.49716162,18.61275884,8242.00000000,0.43629027
5,-11.85293871,9.91508651,17.55736937,13877.00000000,0.03965398,3.01878048,8.67298280,20.26673562,8980.00000000,0.37211579,4.16749109,8.44761187,18.59704021,8583.00000000,0.41184129,3.01878048,8.67298280,20.26673562,8980.00000000,0.37211579
6,-10.17814486,9.92792066,4.14748831,42222.00000000,0.02613309,6.03320476,8.54143773,7.40361612,25257.00000000,0.41936596,6.27544442,8.49989590,7.46644473,24884.00000000,0.42436790,6.03554566,8.54132279,7.39772898,25255.00000000,0.41941194
7,-13.27063046,9.48226704,61.45016357,2354.00000000,0.18150209,9.73687387,7.95627842,17.83294283,1279.00000000,0.55264078,-10.85349447,9.28361775,59.20465587,2256.00000000,0.23003413,9.73687387,7.95627842,17.83294283,1279.00000000,0.55264078
8,-10.28841243,9.90832780,5.77199541,33569.00000000,0.03167277,6.02486631,8.52911589,9.16875061,20079.00000000,0.42288457,6.10363338,8.54082072,9.04798798,20006.00000000,0.42549464,6.01679822,8.52908715,9.15304074,20086.00000000,0.42268338
9,-13.43473668,9.86121037,29.75929644,8215.00000000,0.05302594,4.06038494,8.69115787,20.68685901,5152.00000000,0.40761182,3.75535367,8.37061947,28.77909986,4774.00000000,0.43669617,4.06089102,8.69115787,20.69130351,5152.00000000,0.40761182
10,-12.86373562,9.49897820,61.18832444,2386.00000000,0.18732970,8.76512815,8.04636891,18.29828913,1370.00000000,0.53290147,-10.50412396,9.28906519,59.33436338,2215.00000000,0.23594343,8.76512815,8.04636891,18.29828913,1370.00000000,0.53290147
11,-10.62262569,9.86954075,9.92550912,22099.00000000,0.04345756,5.74614506,8.54268424,13.07725696,13331.00000000,0.42377350,5.85544552,8.49616135,13.02163648,13227.00000000,0.42628497,5.74614506,8.54268424,13.07725696,13331.00000000,0.42377350
