reference_id,priority,title,citation_as_in_current_draft,doi,official_url_checked,metadata_check_scope,pdf_in_package,canonical_or_original_source,pdf_status,code_url_checked,code_check_scope,historical_code_record,coauthor_verdict,page_section_support,proposed_correction
1,P2,Edge Computing: Vision and Challenges,"W. Shi, J. Cao, Q. Zhang, Y. Li, and L. Xu, ""Edge Computing: Vision and Challenges,"" *IEEE Internet of Things Journal*, Vol. 3, No. 5, pp. 637–646, Oct. 2016, doi: 10.1109/JIOT.2016.2579198.",10.1109/JIOT.2016.2579198,,inherited bibliography; not externally rechecked this session,,,not found in mapped local sources; obtain from official publisher/library,,historical registry only; current availability not rechecked,없음 — vision/survey 성격의 논문으로 저자 공식 구현을 확인하지 못함.,PENDING,,
2,P2,A Survey on Mobile Edge Computing: The Communication Perspective,"Y. Mao, C. You, J. Zhang, K. Huang, and K.B. Letaief, ""A Survey on Mobile Edge Computing: The Communication Perspective,"" *IEEE Communications Surveys & Tutorials*, Vol. 19, No. 4, pp. 2322–2358, 2017, doi: 10.1109/COMST.2017.2745201.",10.1109/COMST.2017.2745201,,inherited bibliography; not externally rechecked this session,,,not found in mapped local sources; obtain from official publisher/library,,historical registry only; current availability not rechecked,없음 — survey 논문으로 저자 공식 구현을 확인하지 못함.,PENDING,,
3,P2,Mobile Edge Computing: A Survey on Architecture and Computation Offloading,"P. Mach and Z. Becvar, ""Mobile Edge Computing: A Survey on Architecture and Computation Offloading,"" *IEEE Communications Surveys & Tutorials*, Vol. 19, No. 3, pp. 1628–1656, 2017, doi: 10.1109/COMST.2017.2682318.",10.1109/COMST.2017.2682318,,inherited bibliography; not externally rechecked this session,,,not found in mapped local sources; obtain from official publisher/library,,historical registry only; current availability not rechecked,없음 — survey 논문으로 저자 공식 구현을 확인하지 못함.,PENDING,,
4,P2,Flow Prediction-Based Dynamic Clustering Method for Traffic Distribution in Edge Computing,"C. Lee, ""Flow Prediction-Based Dynamic Clustering Method for Traffic Distribution in Edge Computing,"" *Journal of Korea Multimedia Society*, Vol. 25, No. 8, pp. 1136–1140, 2022, doi: 10.9717/kmms.2022.25.8.1136.",10.9717/kmms.2022.25.8.1136,,inherited bibliography; not externally rechecked this session,,,not found in mapped local sources; obtain from official publisher/library,,historical registry only; current availability not rechecked,없음 — 2026-07-23 저자명·영문 제목 기반 공개 GitHub 검색에서 저자 공식 저장소를 확인하지 못함.,PENDING,,
5,P2,MDP-Based Offloading Trend Prediction Method for Multimedia Services in Edge Computing,"C. Lee, ""MDP-Based Offloading Trend Prediction Method for Multimedia Services in Edge Computing,"" *Journal of Korea Multimedia Society*, Vol. 26, No. 2, pp. 209–214, 2023, doi: 10.9717/kmms.2023.26.2.209.",10.9717/kmms.2023.26.2.209,,inherited bibliography; not externally rechecked this session,,,not found in mapped local sources; obtain from official publisher/library,,historical registry only; current availability not rechecked,없음 — 2026-07-23 저자명·영문 제목 기반 공개 GitHub 검색에서 저자 공식 저장소를 확인하지 못함.,PENDING,,
6,P2,A Task Offloading Algorithm Based on Deep Reinforcement Learning with BiLSTM for Mobile Edge Computing,"S. Kim and C. Lee, ""A Task Offloading Algorithm Based on Deep Reinforcement Learning with BiLSTM for Mobile Edge Computing,"" *Journal of Korea Multimedia Society*, Vol. 27, No. 8, pp. 894–899, Aug. 2024, doi: 10.9717/kmms.2024.27.8.894.",10.9717/kmms.2024.27.8.894,,inherited bibliography; not externally rechecked this session,02_references/papers/R06.pdf,QECO-Adapt/journals/A Task Offloading Algorithm with BiLSTM.pdf,included; edition/content validation assigned to coauthor,,historical registry only; current availability not rechecked,없음 — 2026-07-23 저자명·영문 제목 기반 공개 GitHub 검색에서 저자 공식 저장소를 확인하지 못함.,PENDING,,
7,P1,QECO: A QoE-Oriented Computation Offloading Algorithm Based on Deep Reinforcement Learning for Mobile Edge Computing,"I. Rahmati, H. Shah-Mansouri, and A. Movaghar, ""QECO: A QoE-Oriented Computation Offloading Algorithm Based on Deep Reinforcement Learning for Mobile Edge Computing,"" *IEEE Transactions on Network Science and Engineering*, Vol. 12, No. 4, pp. 3118–3130, 2025, doi: 10.1109/TNSE.2025.3556809.",10.1109/TNSE.2025.3556809,https://arxiv.org/abs/2311.02525,title/authors/journal/DOI and public QECO repository checked; Rahmaty/Rahmati edition spelling requires final comparison,02_references/papers/R07.pdf,research_files/qeco-qoe-oriented-computation-offloading/qeco-qoe-oriented-computation-offloading_원문.pdf,included; edition/content validation assigned to coauthor,https://github.com/ImanRHT/QECO,author public repository verified 2026-09-06,"저자 공개(공개 접근 재확인: 2026-07-20) — https://github.com/ImanRHT/QECO. 원 논문이 인용한 QECO 공개 구현이며, 본 연구의 `qeco_runtime/`과는 별도 배포본이다.",PENDING,,
8,P1,Deep Reinforcement Learning for Task Offloading in Mobile Edge Computing Systems,"M. Tang and V.W.S. Wong, ""Deep Reinforcement Learning for Task Offloading in Mobile Edge Computing Systems,"" *IEEE Transactions on Mobile Computing*, Vol. 21, No. 6, pp. 1985–1997, 2022, doi: 10.1109/TMC.2020.3036871.",10.1109/TMC.2020.3036871,https://arxiv.org/abs/2005.02459,preprint title/authors checked; journal volume/pages not rechecked,02_references/papers/R08.pdf,research_files/drl-task-offloading-mobile-edge-computing-systems/drl-task-offloading-mobile-edge-computing-systems_원문.pdf,included; edition/content validation assigned to coauthor,,historical registry only; current availability not rechecked,제3자 공개 재현(공개 접근 재확인: 2026-07-20) — https://github.com/SZU-AdvTech-2024/059-Deep-Reinforcement-Learning-for-Task-Offloading-in-Mobile-Edge-Computing-Systems (저자 공식 저장소 미확인),PENDING,,
9,P1,Deep Reinforcement Learning for Online Computation Offloading in Wireless Powered Mobile-Edge Computing Networks,"L. Huang, S. Bi, and Y.-J.A. Zhang, ""Deep Reinforcement Learning for Online Computation Offloading in Wireless Powered Mobile-Edge Computing Networks,"" *IEEE Transactions on Mobile Computing*, Vol. 19, No. 11, pp. 2581–2593, 2020, doi: 10.1109/TMC.2019.2928811.",10.1109/TMC.2019.2928811,,inherited bibliography; not externally rechecked this session,02_references/papers/R09.pdf,research_files/droo-online-computation-offloading-wireless-powered-mec/droo-online-computation-offloading-wireless-powered-mec_원문.pdf,included; edition/content validation assigned to coauthor,https://github.com/revenol/DROO,public paper-associated repository verified 2026-09-06,저자 공개(공개 접근 재확인: 2026-07-20) — https://github.com/revenol/DROO,PENDING,,
10,P1,Lyapunov-Guided Deep Reinforcement Learning for Stable Online Computation Offloading in Mobile-Edge Computing Networks,"S. Bi, L. Huang, H. Wang, and Y.-J.A. Zhang, ""Lyapunov-Guided Deep Reinforcement Learning for Stable Online Computation Offloading in Mobile-Edge Computing Networks,"" *IEEE Transactions on Wireless Communications*, Vol. 20, No. 11, pp. 7519–7537, 2021, doi: 10.1109/TWC.2021.3085319.",10.1109/TWC.2021.3085319,,inherited bibliography; not externally rechecked this session,02_references/papers/R10.pdf,research_files/lydroo-stable-online-computation-offloading-mec/lydroo-stable-online-computation-offloading-mec_원문.pdf,included; edition/content validation assigned to coauthor,https://github.com/revenol/LyDROO,public paper-associated repository verified 2026-09-06,저자 공개(공개 접근 재확인: 2026-07-20) — https://github.com/revenol/LyDROO,PENDING,,
